row_id,customer_uuid,purchase_year,rating,age,income,region,is_churned,outcome,signup_date,zip_code,notes,score,int_as_string
1,a1b2c3d4-e5f6-7890-abcd-000000000001,2019,2,19,30512.75,South,False,win,2022-01-01,10001,ref-0001: customer note entry number 1,1.09,101
2,a1b2c3d4-e5f6-7890-abcd-000000000002,2020,3,20,31025.5,East,False,win,2022-01-02,10002,ref-0002: customer note entry number 2,1.18,102
3,a1b2c3d4-e5f6-7890-abcd-000000000003,2021,4,21,31538.25,West,False,loss,2022-01-03,10003,ref-0003: customer note entry number 3,1.27,103
4,a1b2c3d4-e5f6-7890-abcd-000000000004,2022,5,22,32051.0,North,False,win,2022-01-04,10004,ref-0004: customer note entry number 4,1.36,104
5,a1b2c3d4-e5f6-7890-abcd-000000000005,2018,1,23,32563.75,South,True,win,2022-01-05,10005,ref-0005: customer note entry number 5,1.45,105
6,a1b2c3d4-e5f6-7890-abcd-000000000006,2019,2,24,33076.5,East,False,loss,2022-01-06,10006,ref-0006: customer note entry number 6,1.54,106
7,a1b2c3d4-e5f6-7890-abcd-000000000007,2020,3,25,33589.25,West,False,win,2022-01-07,10007,ref-0007: customer note entry number 7,1.63,107
8,a1b2c3d4-e5f6-7890-abcd-000000000008,2021,4,26,34102.0,North,False,win,2022-01-08,10008,ref-0008: customer note entry number 8,1.72,108
9,a1b2c3d4-e5f6-7890-abcd-000000000009,2022,5,27,34614.75,South,False,loss,2022-01-09,10009,ref-0009: customer note entry number 9,1.81,109
10,a1b2c3d4-e5f6-7890-abcd-00000000000a,2018,1,28,35127.5,East,True,win,2022-01-10,10010,ref-0010: customer note entry number 10,1.9,110
11,a1b2c3d4-e5f6-7890-abcd-00000000000b,2019,2,29,35640.25,West,False,win,2022-01-11,10011,ref-0011: customer note entry number 11,1.99,111
12,a1b2c3d4-e5f6-7890-abcd-00000000000c,2020,3,30,36153.0,North,False,loss,2022-01-12,10012,ref-0012: customer note entry number 12,2.08,112
13,a1b2c3d4-e5f6-7890-abcd-00000000000d,2021,4,31,36665.75,South,False,win,2022-01-13,10013,ref-0013: customer note entry number 13,2.17,113
14,a1b2c3d4-e5f6-7890-abcd-00000000000e,2022,5,32,37178.5,East,False,win,2022-01-14,10014,ref-0014: customer note entry number 14,2.26,114
15,a1b2c3d4-e5f6-7890-abcd-00000000000f,2018,1,33,37691.25,West,True,loss,2022-01-15,10015,ref-0015: customer note entry number 15,2.35,115
16,a1b2c3d4-e5f6-7890-abcd-000000000010,2019,2,34,38204.0,North,False,win,2022-01-16,10016,ref-0016: customer note entry number 16,2.44,116
17,a1b2c3d4-e5f6-7890-abcd-000000000011,2020,3,35,38716.75,South,False,win,2022-01-17,10017,ref-0017: customer note entry number 17,2.53,117
18,a1b2c3d4-e5f6-7890-abcd-000000000012,2021,4,36,39229.5,East,False,loss,2022-01-18,10018,ref-0018: customer note entry number 18,2.62,118
19,a1b2c3d4-e5f6-7890-abcd-000000000013,2022,5,37,39742.25,West,False,win,2022-01-19,10019,ref-0019: customer note entry number 19,2.71,119
20,a1b2c3d4-e5f6-7890-abcd-000000000014,2018,1,38,40255.0,North,True,win,2022-01-20,10020,ref-0020: customer note entry number 20,2.8,120
21,a1b2c3d4-e5f6-7890-abcd-000000000015,2019,2,39,40767.75,South,False,loss,2022-01-21,10021,ref-0021: customer note entry number 21,2.89,121
22,a1b2c3d4-e5f6-7890-abcd-000000000016,2020,3,40,41280.5,East,False,win,2022-01-22,10022,ref-0022: customer note entry number 22,2.98,122
23,a1b2c3d4-e5f6-7890-abcd-000000000017,2021,4,41,41793.25,West,False,win,2022-01-23,10023,ref-0023: customer note entry number 23,3.07,123
24,a1b2c3d4-e5f6-7890-abcd-000000000018,2022,5,42,42306.0,North,False,loss,2022-01-24,10024,ref-0024: customer note entry number 24,3.16,124
25,a1b2c3d4-e5f6-7890-abcd-000000000019,2018,1,43,42818.75,South,True,win,2022-01-25,10025,ref-0025: customer note entry number 25,3.25,125
26,a1b2c3d4-e5f6-7890-abcd-00000000001a,2019,2,44,43331.5,East,False,win,2022-01-26,10026,ref-0026: customer note entry number 26,3.34,126
27,a1b2c3d4-e5f6-7890-abcd-00000000001b,2020,3,45,43844.25,West,False,loss,2022-01-27,10027,ref-0027: customer note entry number 27,3.43,127
28,a1b2c3d4-e5f6-7890-abcd-00000000001c,2021,4,46,44357.0,North,False,win,2022-01-28,10028,ref-0028: customer note entry number 28,3.52,128
29,a1b2c3d4-e5f6-7890-abcd-00000000001d,2022,5,47,44869.75,South,False,win,2022-01-29,10029,ref-0029: customer note entry number 29,3.61,129
30,a1b2c3d4-e5f6-7890-abcd-00000000001e,2018,1,48,45382.5,East,True,loss,2022-01-30,10030,ref-0030: customer note entry number 30,3.7,130
31,a1b2c3d4-e5f6-7890-abcd-00000000001f,2019,2,49,45895.25,West,False,win,2022-01-31,10031,ref-0031: customer note entry number 31,3.79,131
