species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
Adelie,Torgersen,39.1,18.7,181,3750,MALE,2007
Adelie,Torgersen,39.5,17.4,186,3800,FEMALE,2007
Adelie,Torgersen,40.3,18.0,195,3250,FEMALE,2007
Adelie,Torgersen,,,,,,2007
Adelie,Torgersen,36.7,19.3,193,3450,FEMALE,2007
Adelie,Torgersen,39.3,20.6,190,3650,MALE,2007
Adelie,Torgersen,38.9,17.8,181,3625,FEMALE,2007
Adelie,Torgersen,39.2,19.6,195,4675,MALE,2007
Adelie,Torgersen,34.1,18.1,193,3475,,2007
Adelie,Torgersen,42.0,20.2,190,4250,,2007
Adelie,Torgersen,37.8,17.1,186,3300,,2007
Adelie,Torgersen,37.8,17.3,180,3700,,2007
Adelie,Biscoe,37.8,18.3,174,3400,FEMALE,2007
Adelie,Biscoe,37.7,18.7,180,3600,MALE,2007
Adelie,Biscoe,35.9,19.2,189,3800,FEMALE,2007
Adelie,Biscoe,38.2,18.1,185,3950,MALE,2007
Adelie,Biscoe,38.8,17.2,180,3800,MALE,2007
Adelie,Biscoe,35.3,18.9,187,3800,FEMALE,2007
Adelie,Dream,39.5,16.7,178,3250,FEMALE,2007
Adelie,Dream,37.2,18.1,178,3900,MALE,2007
Adelie,Dream,39.5,17.8,188,3300,FEMALE,2007
Adelie,Dream,40.9,18.9,184,3325,MALE,2007
Adelie,Dream,36.2,17.2,187,3150,FEMALE,2007
Adelie,Dream,38.8,20.0,190,3950,MALE,2007
Chinstrap,Dream,46.5,17.9,192,3500,FEMALE,2007
Chinstrap,Dream,50.0,19.5,196,3900,MALE,2007
Chinstrap,Dream,51.3,19.2,193,3650,MALE,2007
Chinstrap,Dream,45.4,18.7,188,3525,FEMALE,2007
Chinstrap,Dream,52.7,19.8,197,3725,MALE,2007
Chinstrap,Dream,45.2,17.8,198,3950,FEMALE,2008
Chinstrap,Dream,46.1,18.2,178,3250,FEMALE,2008
Chinstrap,Dream,51.7,20.3,194,3775,MALE,2008
Chinstrap,Dream,46.2,17.5,187,3650,FEMALE,2008
Chinstrap,Dream,47.7,16.4,196,3500,FEMALE,2009
Chinstrap,Dream,55.8,19.8,207,4000,MALE,2009
Chinstrap,Dream,43.5,18.1,202,3400,FEMALE,2009
Gentoo,Biscoe,46.1,13.2,211,4500,FEMALE,2007
Gentoo,Biscoe,50.0,16.3,230,5700,MALE,2007
Gentoo,Biscoe,48.7,14.1,210,4450,FEMALE,2007
Gentoo,Biscoe,50.0,15.2,218,5700,MALE,2007
Gentoo,Biscoe,47.6,14.5,215,5400,MALE,2007
Gentoo,Biscoe,46.5,13.5,210,4550,FEMALE,2007
Gentoo,Biscoe,45.4,14.6,211,4800,FEMALE,2008
Gentoo,Biscoe,46.7,15.3,219,5200,MALE,2008
Gentoo,Biscoe,43.3,13.4,209,4400,FEMALE,2008
Gentoo,Biscoe,46.8,15.4,215,5150,MALE,2008
Gentoo,Biscoe,,,,,,2009
Gentoo,Biscoe,50.4,15.7,222,5750,MALE,2009
Gentoo,Biscoe,45.2,14.8,212,5200,FEMALE,2009
Gentoo,Biscoe,49.9,16.1,213,5400,MALE,2009
