name,hp,attack,defense,sp_atk,sp_def,speed,bst
Bulbasaur,45,49,49,65,65,45,318
Ivysaur,60,62,63,80,80,60,405
Venusaur,80,82,83,100,100,80,525
Charmander,39,52,43,60,50,65,309
Charmeleon,58,64,58,80,65,80,405
Charizard,78,84,78,109,85,100,534
Squirtle,44,48,65,50,64,43,314
Wartortle,59,63,80,65,80,58,405
Blastoise,79,83,100,85,105,78,530
Pikachu,35,55,40,50,50,90,320
Raichu,60,90,55,90,80,110,485
Jigglypuff,115,45,20,45,25,20,270
Gengar,60,65,60,130,75,110,500
Alakazam,55,50,45,135,95,120,500
Machamp,90,130,80,65,85,55,505
Gyarados,95,125,79,60,100,81,540
Lapras,130,85,80,85,95,60,535
Eevee,55,55,50,45,65,55,325
Vaporeon,130,65,60,110,95,65,525
Jolteon,65,65,60,110,95,130,525
Flareon,65,130,60,95,110,65,525
Snorlax,160,110,65,65,110,30,540
Dragonite,91,134,95,100,100,80,600
Mewtwo,106,110,90,154,90,130,680
Mew,100,100,100,100,100,100,600
