trainer,pokemon,bond_score,bond_tier
Ash,Pikachu,98,Legends
Ash,Charizard,72,Partners
Ash,Snorlax,65,Partners
Ash,Bulbasaur,80,Legends
Ash,Squirtle,77,Legends
Misty,Jigglypuff,45,Acquaintances
Misty,Lapras,88,Legends
Misty,Vaporeon,91,Legends
Misty,Gyarados,60,Partners
Brock,Blastoise,55,Partners
Brock,Machamp,70,Partners
Brock,Snorlax,48,Acquaintances
Gary,Blastoise,85,Legends
Gary,Alakazam,78,Legends
Gary,Gengar,66,Partners
Gary,Eevee,90,Legends
Gary,Raichu,52,Partners
Giovanni,Mewtwo,30,Rivals
Giovanni,Raichu,40,Rivals
Giovanni,Gengar,55,Partners
Giovanni,Alakazam,62,Partners
Giovanni,Machamp,58,Partners
Jessie,Jigglypuff,70,Partners
Jessie,Vaporeon,44,Acquaintances
Jessie,Flareon,61,Partners
James,Jigglypuff,82,Legends
James,Eevee,74,Partners
James,Snorlax,50,Acquaintances
Serena,Eevee,95,Legends
Serena,Vaporeon,88,Legends
Serena,Jigglypuff,72,Partners
Serena,Flareon,79,Legends
Lance,Dragonite,99,Legends
Lance,Gyarados,91,Legends
Lance,Charizard,84,Legends
Lance,Lapras,70,Partners
Cynthia,Alakazam,94,Legends
Cynthia,Gengar,89,Legends
Cynthia,Dragonite,87,Legends
Cynthia,Mew,76,Legends
Cynthia,Machamp,65,Partners
Red,Pikachu,100,Legends
Red,Charizard,96,Legends
Red,Snorlax,88,Legends
Red,Blastoise,85,Legends
Red,Venusaur,83,Legends
Blue,Blastoise,80,Legends
Blue,Alakazam,75,Legends
Blue,Gyarados,68,Partners
Blue,Raichu,55,Partners
Blue,Machamp,60,Partners
Leaf,Eevee,92,Legends
Leaf,Jolteon,86,Legends
Leaf,Vaporeon,84,Legends
Leaf,Bulbasaur,78,Legends
Leaf,Ivysaur,71,Partners
Silver,Gengar,62,Partners
Silver,Alakazam,58,Partners
Silver,Mewtwo,22,Rivals
Silver,Gyarados,45,Acquaintances
Silver,Raichu,35,Rivals
N,Reshiram,97,Legends
N,Mew,93,Legends
N,Eevee,89,Legends
N,Jigglypuff,85,Legends
N,Dragonite,81,Legends
Guzma,Gyarados,74,Partners
Guzma,Machamp,69,Partners
Guzma,Gengar,52,Partners
Guzma,Snorlax,44,Acquaintances
Lusamine,Mewtwo,18,Rivals
Lusamine,Alakazam,35,Rivals
Lusamine,Gengar,41,Rivals
Lysandre,Mewtwo,15,Rivals
Lysandre,Charizard,48,Acquaintances
Lysandre,Gyarados,40,Rivals
